name,team,minutes,xP,influence,ict_index,threat,creativity,bps,expected_goal_involvements,transfers_in,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_total_points
Jack Taylor,Ipswich,17.80952380952381,0.6857142857142857,4.438095238095238,1.138095238095238,3.0952380952380953,3.857142857142857,3.7142857142857144,0.06,128.33333333333334,0.0,0.0,0.0,1.0,25,1.0
Jacob Greaves,Ipswich,51.42857142857143,0.6047619047619048,13.085714285714285,1.7142857142857142,3.0952380952380953,0.9428571428571428,5.095238095238095,0.022380952380952383,41495.0,1.0,0.0,0.0,0.0,25,0.75
Jacob Murphy,Newcastle,52.19047619047619,2.9095238095238094,15.714285714285714,4.1761904761904765,10.761904761904763,15.385714285714284,12.619047619047619,0.2652380952380953,37261.857142857145,0.0,0.0,0.0,1.0,25,2.55
Jacob Ramsey,Aston Villa,37.95238095238095,1.0809523809523809,5.304761904761905,1.8428571428571427,6.333333333333333,6.661904761904762,6.619047619047619,0.1180952380952381,2246.095238095238,0.0,0.0,0.0,1.0,25,1.0
Jacob Slater,Brighton,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,108.22222222222223,1.0,0.0,0.0,0.0,25,0.0
Jacob Wright,Man City,0.0,0.7166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,1.0,25,0.0
Jaden Philogene,Aston Villa,15.476190476190476,0.3952380952380953,0.8285714285714285,0.35238095238095235,2.142857142857143,0.8904761904761906,0.8571428571428571,0.03,180.14285714285714,0.0,0.0,0.0,1.0,25,1.0
Jadon Sancho,Chelsea,53.22222222222222,2.861111111111111,12.4,4.055555555555555,12.222222222222221,16.033333333333335,13.222222222222221,0.17777777777777778,25846.222222222223,0.0,0.0,0.0,1.0,25,2.05
Jadon Sancho,Man Utd,0.0,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,914.0,0.0,0.0,0.0,1.0,25,0.0
Jahmai Simpson-Pusey,Man City,7.916666666666667,0.7833333333333333,1.633333333333333,0.19999999999999998,0.16666666666666666,0.18333333333333335,0.5833333333333334,0.0008333333333333334,403.9166666666667,1.0,0.0,0.0,0.0,25,0.97
Jaidon Anthony,Bournemouth,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,399.0952380952381,0.0,0.0,0.0,1.0,25,0.0
Jake O'Brien,Everton,2.05,0.13,0.45999999999999996,0.05,0.0,0.04,0.2,0.0005,313.6,1.0,0.0,0.0,0.0,25,0.46
Jakub Kiwior,Arsenal,15.380952380952381,1.5761904761904764,2.342857142857143,0.30000000000000004,0.0,0.6523809523809524,1.8571428571428572,0.0014285714285714286,1161.1904761904761,1.0,0.0,0.0,0.0,25,1.0
Jakub Moder,Brighton,0.42857142857142855,0.08095238095238096,0.7523809523809524,0.2571428571428571,0.09523809523809523,1.7142857142857142,0.8095238095238095,0.02523809523809524,8232.761904761905,0.0,0.0,0.0,1.0,25,0.45
Jakub Stolarczyk,Leicester,17.142857142857142,0.09047619047619047,5.038095238095238,0.5047619047619047,0.0,0.0,1.2857142857142858,0.0,2088.9523809523807,0.0,0.0,1.0,0.0,25,0.41
Jamaal Lascelles,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,1.0,0.0,0.0,0.0,25,0.0
Jamal Lewis,Newcastle,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,547.2857142857143,1.0,0.0,0.0,0.0,25,0.0
Jamaldeen Jimoh,Aston Villa,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,1.0,25,0.0
James Bree,Southampton,19.0,-0.42857142857142855,3.7809523809523813,0.9809523809523808,1.4761904761904763,4.642857142857143,1.7619047619047619,0.01904761904761905,1971.142857142857,1.0,0.0,0.0,0.0,25,0.92
James Garner,Everton,12.55,0.205,2.7,0.39499999999999996,0.25,1.0450000000000002,1.8,0.005,60.25,0.0,0.0,0.0,1.0,25,0.99
James Hill,Bournemouth,8.380952380952381,0.20952380952380953,1.7523809523809526,0.29523809523809524,0.047619047619047616,1.1285714285714286,2.0476190476190474,0.009523809523809525,4474.523809523809,1.0,0.0,0.0,0.0,25,0.94
James Justin,Leicester,82.0,1.538095238095238,17.923809523809524,3.2095238095238092,7.619047619047619,6.442857142857143,5.380952380952381,0.07523809523809524,29187.619047619046,1.0,0.0,0.0,0.0,25,0.81
James Maddison,Spurs,57.285714285714285,5.204761904761905,25.276190476190475,6.6952380952380945,19.761904761904763,22.05238095238095,21.095238095238095,0.42857142857142855,100023.0,0.0,0.0,0.0,1.0,25,4.96
James McAtee,Man City,1.8571428571428572,1.0047619047619047,0.11428571428571428,0.09047619047619047,0.42857142857142855,0.4,0.6666666666666666,0.011428571428571429,444.76190476190476,0.0,0.0,0.0,1.0,25,1.0
